year,country,origin,refugees,events
2005,Belgium,Albania,201,
2005,Belgium,United Arab Emirates,,
2005,Belgium,Armenia,34,
2005,Belgium,Azerbaijan,46,
2005,Belgium,Burundi,312,
2005,Belgium,Belgium,,
2005,Belgium,Benin,1,
2005,Belgium,Burkina Faso,1,
2005,Belgium,Bangladesh,5,
2005,Belgium,Bulgaria,35,
2005,Belgium,Bosnia and Herzegovina,164,
2005,Belgium,Belarus,146,
2005,Belgium,Bolivia,10,
2005,Belgium,Bhutan,,
2005,Belgium,Central African Rep.,2,
2005,Belgium,Chile,87,
2005,Belgium,China,97,
2005,Belgium,Ivory Coast,33,
2005,Belgium,Cameroon,45,
2005,Belgium,Dem. Rep. of the Congo,866,Civil war (1994-now)
2005,Belgium,Congo,38,Civil war (1994-now)
2005,Belgium,Colombia,62,
2005,Belgium,Cuba,,
2005,Belgium,Czech Rep.,18,
2005,Belgium,Germany,5,
2005,Belgium,Djibouti,92,
2005,Belgium,Dominican Rep.,1,
2005,Belgium,Algeria,80,
2005,Belgium,Ecuador,4,
2005,Belgium,Egypt,1,
2005,Belgium,Eritrea,1,
2005,Belgium,Spain,3,
2005,Belgium,Estonia,3,
2005,Belgium,Ethiopia,30,
2005,Belgium,Gabon,2,
2005,Belgium,Georgia,30,
2005,Belgium,Ghana,4,
2005,Belgium,Guinea,73,
2005,Belgium,Gambia,,
2005,Belgium,Guinea-Bissau,8,
2005,Belgium,Equatorial Guinea,,
2005,Belgium,Greece,1,
2005,Belgium,Guatemala,8,
2005,Belgium,Croatia,7,
2005,Belgium,Haiti,5,
2005,Belgium,Hungary,147,
2005,Belgium,Indonesia,,
2005,Belgium,India,5,
2005,Belgium,Iran,327,
2005,Belgium,Iraq,231,Iraq war (2002-2011)
2005,Belgium,Israel,4,
2005,Belgium,Jordan,12,
2005,Belgium,Kazakhstan,33,
2005,Belgium,Kenya,1,
2005,Belgium,Kyrgyzstan,27,
2005,Belgium,Cambodia,34,
2005,Belgium,South Korea,4,
2005,Belgium,Kuwait,,
2005,Belgium,Laos,33,
2005,Belgium,Lebanon,22,
2005,Belgium,Liberia,12,
2005,Belgium,Libya,,
2005,Belgium,Sri Lanka,4,
2005,Belgium,Lithuania,24,
2005,Belgium,Latvia,19,
2005,Belgium,Morocco,7,
2005,Belgium,Rep. of Moldova,6,
2005,Belgium,Madagascar,5,
2005,Belgium,Macedonia,49,
2005,Belgium,Mali,,
2005,Belgium,Myanmar,9,
2005,Belgium,Mongolia,,
2005,Belgium,Mauritania,52,
2005,Belgium,Malawi,,
2005,Belgium,Namibia,2,
2005,Belgium,Niger,4,
2005,Belgium,Nigeria,1,
2005,Belgium,Nepal,23,Nepalese Burgeroorlog (1996-2006)
2005,Belgium,Oman,,
2005,Belgium,Pakistan,74,
2005,Belgium,Peru,3,
2005,Belgium,Poland,484,
2005,Belgium,North Korea,,
2005,Belgium,Portugal,1,
2005,Belgium,Palestinian,35,
2005,Belgium,Romania,62,
2005,Belgium,Russian Federation,3899,Second Tsjetseense war (1999—2010)
2005,Belgium,Rwanda,1929,
2005,Belgium,Sudan,33,Conflict of Dafur
2005,Belgium,Senegal,3,
2005,Belgium,Sierra Leone,5,
2005,Belgium,El Salvador,2,
2005,Belgium,Somalia,108,
2005,Belgium,Serbia and Kosovo,1889,
2005,Belgium,Slovakia,,
2005,Belgium,Syrian Arab Rep.,115,
2005,Belgium,Chad,9,
2005,Belgium,Togo,47,
2005,Belgium,Tibetan,7,
2005,Belgium,Tajikistan,,
2005,Belgium,Turkmenistan,,
2005,Belgium,Tunisia,21,
2005,Belgium,Turkey,468,
2005,Belgium,Tanzania,4,
2005,Belgium,Uganda,2,
2005,Belgium,Ukraine,138,
2005,Belgium,Uruguay,4,
2005,Belgium,Uzbekistan,34,
2005,Belgium,Venezuela,,
2005,Belgium,Viet Nam,98,
2005,Belgium,Stateless,366,
2005,Belgium,Various/Unknown,1270,
2005,Belgium,Yemen,9,
2005,Belgium,South Africa,2,
2005,Belgium,Zimbabwe,,
2006,Belgium,Afghanistan,226,Afghanistan war (2001-now)
2006,Belgium,Angola,126,
2006,Belgium,Albania,165,
2006,Belgium,United Arab Emirates,,
2006,Belgium,Armenia,40,
2006,Belgium,Azerbaijan,45,
2006,Belgium,Burundi,294,
2006,Belgium,Belgium,,
2006,Belgium,Benin,2,
2006,Belgium,Burkina Faso,8,
2006,Belgium,Bangladesh,4,
2006,Belgium,Bulgaria,30,
2006,Belgium,Bosnia and Herzegovina,145,
2006,Belgium,Belarus,170,
2006,Belgium,Bolivia,10,
2006,Belgium,Bhutan,2,
2006,Belgium,Central African Rep.,5,
2006,Belgium,Chile,76,
2006,Belgium,China,149,
2006,Belgium,Ivory Coast,189,
2006,Belgium,Cameroon,82,
2006,Belgium,Dem. Rep. of the Congo,884,Civil war (1994-now)
2006,Belgium,Congo,55,Civil war (1994-now)
2006,Belgium,Colombia,54,
2006,Belgium,Cuba,1,
2006,Belgium,Czech Rep.,16,
2006,Belgium,Germany,4,
2006,Belgium,Djibouti,85,
2006,Belgium,Dominican Rep.,1,
2006,Belgium,Algeria,54,
2006,Belgium,Ecuador,2,
2006,Belgium,Egypt,1,
2006,Belgium,Eritrea,5,
2006,Belgium,Spain,3,
2006,Belgium,Estonia,3,
2006,Belgium,Ethiopia,40,
2006,Belgium,Gabon,10,
2006,Belgium,Georgia,31,
2006,Belgium,Ghana,8,
2006,Belgium,Guinea,218,
2006,Belgium,Gambia,,
2006,Belgium,Guinea-Bissau,8,
2006,Belgium,Equatorial Guinea,,
2006,Belgium,Greece,1,
2006,Belgium,Guatemala,7,
2006,Belgium,Croatia,10,
2006,Belgium,Haiti,6,
2006,Belgium,Hungary,133,
2006,Belgium,Indonesia,,
2006,Belgium,India,4,
2006,Belgium,Iran,379,
2006,Belgium,Iraq,253,Iraq war (2002-2011)
2006,Belgium,Israel,5,
2006,Belgium,Jordan,4,
2006,Belgium,Kazakhstan,37,
2006,Belgium,Kenya,,
2006,Belgium,Kyrgyzstan,36,
2006,Belgium,Cambodia,25,
2006,Belgium,South Korea,6,
2006,Belgium,Kuwait,,
2006,Belgium,Laos,30,
2006,Belgium,Lebanon,14,
2006,Belgium,Liberia,15,
2006,Belgium,Libya,,
2006,Belgium,Sri Lanka,8,
2006,Belgium,Lithuania,23,
2006,Belgium,Latvia,18,
2006,Belgium,Morocco,8,
2006,Belgium,Rep. of Moldova,11,
2006,Belgium,Madagascar,4,
2006,Belgium,Macedonia,36,
2006,Belgium,Mali,,
2006,Belgium,Myanmar,4,
2006,Belgium,Mongolia,,
2006,Belgium,Mauritania,92,
2006,Belgium,Malawi,,
2006,Belgium,Namibia,2,
2006,Belgium,Niger,12,
2006,Belgium,Nigeria,5,
2006,Belgium,Nepal,26,Nepalese Burgeroorlog (1996-2006)
2006,Belgium,Oman,,
2006,Belgium,Pakistan,72,
2006,Belgium,Peru,2,
2006,Belgium,Poland,432,
2006,Belgium,North Korea,,
2006,Belgium,Portugal,2,
2006,Belgium,Palestinian,40,Civil war (2005-now)
2006,Belgium,Romania,57,
2006,Belgium,Russian Federation,5425,Second Tsjetseense war (1999—2010)
2006,Belgium,Rwanda,1833,
2006,Belgium,Sudan,49,Conflict of Dafur
2006,Belgium,Senegal,6,
2006,Belgium,Sierra Leone,16,
2006,Belgium,El Salvador,2,
2006,Belgium,Somalia,111,
2006,Belgium,Serbia and Kosovo,1606,
2006,Belgium,Slovakia,,
2006,Belgium,Syrian Arab Rep.,100,
2006,Belgium,Chad,19,
2006,Belgium,Togo,84,
2006,Belgium,Tibetan,16,
2006,Belgium,Tajikistan,,
2006,Belgium,Turkmenistan,,
2006,Belgium,Tunisia,13,
2006,Belgium,Turkey,463,
2006,Belgium,Tanzania,5,
2006,Belgium,Uganda,7,
2006,Belgium,Ukraine,126,
2006,Belgium,Uruguay,4,
2006,Belgium,Uzbekistan,36,
2006,Belgium,Viet Nam,88,
2006,Belgium,Stateless,13,
2006,Belgium,Various/Unknown,1710,
2006,Belgium,Yemen,16,
2006,Belgium,South Africa,2,
2006,Belgium,Zimbabwe,,
2007,Belgium,Afghanistan,151,Afghanistan war (2001-now)
2007,Belgium,Angola,133,
2007,Belgium,Albania,156,
2007,Belgium,Armenia,45,
2007,Belgium,Azerbaijan,38,
2007,Belgium,Burundi,258,
2007,Belgium,Belgium,,
2007,Belgium,Benin,3,
2007,Belgium,Burkina Faso,11,
2007,Belgium,Bangladesh,8,
2007,Belgium,Bulgaria,45,
2007,Belgium,Bosnia and Herzegovina,112,
2007,Belgium,Belarus,159,
2007,Belgium,Bolivia,9,
2007,Belgium,Bhutan,3,
2007,Belgium,Central African Rep.,5,
2007,Belgium,Chile,72,
2007,Belgium,China,225,
2007,Belgium,Ivory Coast,246,
2007,Belgium,Cameroon,108,
2007,Belgium,Dem. Rep. of the Congo,1093,Civil war (1994-now)
2007,Belgium,Congo,41,Civil war (1994-now)
2007,Belgium,Colombia,37,
2007,Belgium,Czech Rep.,14,
2007,Belgium,Germany,4,
2007,Belgium,Djibouti,59,
2007,Belgium,Dominican Rep.,1,
2007,Belgium,Algeria,54,
2007,Belgium,Egypt,2,
2007,Belgium,Eritrea,11,
2007,Belgium,Spain,7,
2007,Belgium,Estonia,3,
2007,Belgium,Ethiopia,42,
2007,Belgium,Gabon,8,
2007,Belgium,Georgia,19,
2007,Belgium,Ghana,4,
2007,Belgium,Guinea,294,
2007,Belgium,Guinea-Bissau,13,
2007,Belgium,Greece,1,
2007,Belgium,Guatemala,6,
2007,Belgium,Croatia,8,
2007,Belgium,Haiti,9,
2007,Belgium,Hungary,127,
2007,Belgium,India,3,
2007,Belgium,Iran,347,
2007,Belgium,Iraq,292,Iraq war (2002-2011)
2007,Belgium,Israel,4,
2007,Belgium,Jordan,5,
2007,Belgium,Kazakhstan,26,
2007,Belgium,Kenya,1,
2007,Belgium,Kyrgyzstan,21,
2007,Belgium,Cambodia,29,
2007,Belgium,Laos,27,
2007,Belgium,Lebanon,28,
2007,Belgium,Liberia,12,
2007,Belgium,Libya,5,
2007,Belgium,Sri Lanka,20,
2007,Belgium,Lithuania,24,
2007,Belgium,Latvia,8,
2007,Belgium,Morocco,9,
2007,Belgium,Rep. of Moldova,7,
2007,Belgium,Madagascar,4,
2007,Belgium,Macedonia,21,
2007,Belgium,Mali,1,
2007,Belgium,Myanmar,5,
2007,Belgium,Mauritania,71,
2007,Belgium,Namibia,1,
2007,Belgium,Niger,12,
2007,Belgium,Nigeria,7,
2007,Belgium,Nepal,31,
2007,Belgium,Pakistan,55,
2007,Belgium,Peru,4,
2007,Belgium,Poland,377,
2007,Belgium,North Korea,7,
2007,Belgium,Portugal,2,
2007,Belgium,Palestinian,44,Civil war (2005-now)
2007,Belgium,Romania,57,
2007,Belgium,Russian Federation,5150,Second Tsjetseense war (1999—2010)
2007,Belgium,Rwanda,1350,
2007,Belgium,Sudan,39,Conflict of Dafur
2007,Belgium,Senegal,11,
2007,Belgium,Sierra Leone,17,
2007,Belgium,Somalia,94,
2007,Belgium,Serbia and Kosovo,1320,
2007,Belgium,Syrian Arab Rep.,114,
2007,Belgium,Chad,32,
2007,Belgium,Togo,101,
2007,Belgium,Tibetan,17,
2007,Belgium,Tunisia,24,
2007,Belgium,Turkey,421,
2007,Belgium,Tanzania,5,
2007,Belgium,Uganda,8,
2007,Belgium,Ukraine,109,
2007,Belgium,Uruguay,4,
2007,Belgium,Uzbekistan,36,
2007,Belgium,Viet Nam,80,
2007,Belgium,Stateless,13,
2007,Belgium,Various/Unknown,3405,
2007,Belgium,Yemen,12,
2007,Belgium,South Africa,2,
2008,Belgium,Afghanistan,196,Afghanistan war (2001-now)
2008,Belgium,Angola,128,
2008,Belgium,Albania,181,
2008,Belgium,Armenia,35,
2008,Belgium,Azerbaijan,27,
2008,Belgium,Burundi,243,
2008,Belgium,Belgium,,
2008,Belgium,Benin,1,
2008,Belgium,Burkina Faso,13,
2008,Belgium,Bangladesh,8,
2008,Belgium,Bulgaria,41,
2008,Belgium,Bosnia and Herzegovina,97,
2008,Belgium,Belarus,124,
2008,Belgium,Bolivia,8,
2008,Belgium,Bhutan,2,
2008,Belgium,Central African Rep.,15,
2008,Belgium,Chile,65,
2008,Belgium,China,273,
2008,Belgium,Cameroon,163,
2008,Belgium,Dem. Rep. of the Congo,784,Civil war (1994-now)
2008,Belgium,Congo,36,Civil war (1994-now)
2008,Belgium,Colombia,29,
2008,Belgium,Comoros,225,
2008,Belgium,Czech Rep.,13,
2008,Belgium,Germany,4,
2008,Belgium,Djibouti,50,
2008,Belgium,Dominican Rep.,1,
2008,Belgium,Algeria,41,
2008,Belgium,Egypt,7,
2008,Belgium,Eritrea,16,
2008,Belgium,Spain,3,
2008,Belgium,Estonia,3,
2008,Belgium,Ethiopia,63,
2008,Belgium,Gabon,3,
2008,Belgium,Georgia,17,
2008,Belgium,Ghana,4,
2008,Belgium,Guinea,500,
2008,Belgium,Guinea-Bissau,11,
2008,Belgium,Greece,1,
2008,Belgium,Guatemala,6,
2008,Belgium,Croatia,7,
2008,Belgium,Haiti,8,
2008,Belgium,Hungary,112,
2008,Belgium,India,2,
2008,Belgium,Iran,305,
2008,Belgium,Iraq,494,Iraq war (2002-2011)
2008,Belgium,Israel,1,Conflict of Gazastrook (2008-2009)
2008,Belgium,Jordan,6,
2008,Belgium,Kazakhstan,18,
2008,Belgium,Kenya,9,
2008,Belgium,Kyrgyzstan,16,
2008,Belgium,Cambodia,18,
2008,Belgium,Laos,23,
2008,Belgium,Lebanon,41,
2008,Belgium,Liberia,13,
2008,Belgium,Libya,13,
2008,Belgium,Sri Lanka,87,
2008,Belgium,Lithuania,21,
2008,Belgium,Latvia,7,
2008,Belgium,Morocco,9,
2008,Belgium,Rep. of Moldova,7,
2008,Belgium,Madagascar,3,
2008,Belgium,Macedonia,10,
2008,Belgium,Mali,5,
2008,Belgium,Myanmar,12,
2008,Belgium,Mauritania,76,
2008,Belgium,Namibia,1,
2008,Belgium,Niger,22,
2008,Belgium,Nigeria,10,
2008,Belgium,Nepal,24,
2008,Belgium,Pakistan,56,
2008,Belgium,Peru,4,
2008,Belgium,Poland,335,
2008,Belgium,North Korea,9,
2008,Belgium,Portugal,1,
2008,Belgium,Palestinian,40,Civil war (2005-now)
2008,Belgium,Romania,50,
2008,Belgium,Russian Federation,3981,Second Tsjetseense war (1999—2010)
2008,Belgium,Rwanda,1108,
2008,Belgium,Sudan,47,Conflict of Dafur
2008,Belgium,Senegal,20,
2008,Belgium,Sierra Leone,25,
2008,Belgium,Somalia,89,
2008,Belgium,Serbia and Kosovo,1172,
2008,Belgium,Syrian Arab Rep.,152,
2008,Belgium,Chad,35,
2008,Belgium,Togo,112,
2008,Belgium,Tibetan,17,
2008,Belgium,Tunisia,16,
2008,Belgium,Turkey,437,
2008,Belgium,Tanzania,10,
2008,Belgium,Uganda,8,
2008,Belgium,Ukraine,100,
2008,Belgium,Uruguay,2,
2008,Belgium,Uzbekistan,33,
2008,Belgium,Viet Nam,71,
2008,Belgium,Various/Unknown,4274,
2008,Belgium,Yemen,3,
2008,Belgium,South Africa,2,
2009,Belgium,Afghanistan,271,Afghanistan war (2001-now)
2009,Belgium,Angola,109,
2009,Belgium,Albania,195,
2009,Belgium,Armenia,55,
2009,Belgium,Azerbaijan,27,
2009,Belgium,Burundi,245,
2009,Belgium,Belgium,,
2009,Belgium,Benin,1,
2009,Belgium,Burkina Faso,21,
2009,Belgium,Bangladesh,10,
2009,Belgium,Bulgaria,34,
2009,Belgium,Bosnia and Herzegovina,84,
2009,Belgium,Belarus,108,
2009,Belgium,Bolivia,5,
2009,Belgium,Bhutan,2,
2009,Belgium,Central African Rep.,19,
2009,Belgium,Chile,62,
2009,Belgium,China,384,
2009,Belgium,Ivory Coast,201,
2009,Belgium,Cameroon,220,
2009,Belgium,Dem. Rep. of the Congo,748,Civil war (1994-now)
2009,Belgium,Congo,34,Civil war (1994-now)
2009,Belgium,Colombia,32,
2009,Belgium,Cuba,1,
2009,Belgium,Czech Rep.,11,
2009,Belgium,Germany,4,
2009,Belgium,Djibouti,59,
2009,Belgium,Dominican Rep.,1,
2009,Belgium,Algeria,36,
2009,Belgium,Egypt,9,
2009,Belgium,Eritrea,24,
2009,Belgium,Spain,3,
2009,Belgium,Estonia,3,
2009,Belgium,Ethiopia,80,
2009,Belgium,Gabon,2,
2009,Belgium,Georgia,14,
2009,Belgium,Ghana,8,
2009,Belgium,Guinea,696,
2009,Belgium,Guinea-Bissau,8,
2009,Belgium,Greece,1,
2009,Belgium,Guatemala,6,
2009,Belgium,Croatia,10,
2009,Belgium,Haiti,8,
2009,Belgium,Hungary,103,
2009,Belgium,India,2,
2009,Belgium,Iran,339,
2009,Belgium,Iraq,718,Iraq war (2002-2011)
2009,Belgium,Israel,1,Conflict of Gazastrook (2008-2009)
2009,Belgium,Jordan,13,
2009,Belgium,Kazakhstan,13,
2009,Belgium,Kenya,16,
2009,Belgium,Kyrgyzstan,10,
2009,Belgium,Cambodia,16,
2009,Belgium,Laos,21,
2009,Belgium,Lebanon,50,
2009,Belgium,Liberia,14,
2009,Belgium,Libya,13,
2009,Belgium,Sri Lanka,160,
2009,Belgium,Lithuania,18,
2009,Belgium,Latvia,5,
2009,Belgium,Morocco,14,
2009,Belgium,Rep. of Moldova,6,
2009,Belgium,Madagascar,1,
2009,Belgium,Macedonia,11,
2009,Belgium,Mali,4,
2009,Belgium,Myanmar,9,
2009,Belgium,Mauritania,116,
2009,Belgium,Namibia,1,
2009,Belgium,Niger,31,
2009,Belgium,Nigeria,13,
2009,Belgium,Nepal,25,
2009,Belgium,Pakistan,55,
2009,Belgium,Peru,4,
2009,Belgium,Poland,302,
2009,Belgium,North Korea,13,
2009,Belgium,Portugal,1,
2009,Belgium,Palestinian,52,Civil war (2005-now)
2009,Belgium,Romania,45,
2009,Belgium,Russian Federation,3428,Second Tsjetseense war (1999—2010)
2009,Belgium,Rwanda,1046,
2009,Belgium,Sudan,48,Conflict of Dafur
2009,Belgium,Senegal,35,
2009,Belgium,Sierra Leone,34,
2009,Belgium,Somalia,98,
2009,Belgium,Serbia and Kosovo,1059,
2009,Belgium,Syrian Arab Rep.,177,
2009,Belgium,Chad,39,
2009,Belgium,Togo,112,
2009,Belgium,Tibetan,15,
2009,Belgium,Tunisia,17,
2009,Belgium,Turkey,471,
2009,Belgium,Tanzania,14,
2009,Belgium,Uganda,9,
2009,Belgium,Ukraine,89,
2009,Belgium,Uruguay,2,
2009,Belgium,Uzbekistan,36,
2009,Belgium,Viet Nam,64,
2009,Belgium,Various/Unknown,2681,
2009,Belgium,Yemen,3,
2009,Belgium,South Africa,2,
2010,Belgium,Afghanistan,501,Afghanistan war (2001-now)
2010,Belgium,Angola,117,
2010,Belgium,Albania,216,
2010,Belgium,United Arab Emirates,2,
2010,Belgium,Armenia,61,
2010,Belgium,Azerbaijan,26,
2010,Belgium,Burundi,255,
2010,Belgium,Belgium,,
2010,Belgium,Benin,2,
2010,Belgium,Burkina Faso,24,
2010,Belgium,Bangladesh,10,
2010,Belgium,Bulgaria,24,
2010,Belgium,Bosnia and Herzegovina,67,
2010,Belgium,Belarus,76,
2010,Belgium,Bolivia,4,
2010,Belgium,Bhutan,2,
2010,Belgium,Central African Rep.,18,
2010,Belgium,Chile,59,
2010,Belgium,China,441,
2010,Belgium,Ivory Coast,185,
2010,Belgium,Cameroon,266,
2010,Belgium,Dem. Rep. of the Congo,689,Civil war (1994-now)
2010,Belgium,Congo,31,Civil war (1994-now)
2010,Belgium,Colombia,33,
2010,Belgium,Cuba,1,
2010,Belgium,Czech Rep.,11,
2010,Belgium,Germany,3,
2010,Belgium,Djibouti,68,
2010,Belgium,Dominican Rep.,1,
2010,Belgium,Algeria,35,
2010,Belgium,Egypt,9,
2010,Belgium,Eritrea,36,
2010,Belgium,Spain,4,
2010,Belgium,Estonia,3,
2010,Belgium,Ethiopia,87,
2010,Belgium,Gabon,2,
2010,Belgium,Georgia,19,
2010,Belgium,Ghana,9,
2010,Belgium,Guinea,979,
2010,Belgium,Guinea-Bissau,9,
2010,Belgium,Guatemala,5,
2010,Belgium,Croatia,8,
2010,Belgium,Haiti,6,
2010,Belgium,Hungary,88,
2010,Belgium,India,3,
2010,Belgium,Iran,341,
2010,Belgium,Iraq,962,Iraq war (2002-2011)
2010,Belgium,Israel,1,
2010,Belgium,Jordan,17,
2010,Belgium,Kazakhstan,13,
2010,Belgium,Kenya,18,
2010,Belgium,Kyrgyzstan,10,
2010,Belgium,Cambodia,13,
2010,Belgium,Laos,16,
2010,Belgium,Lebanon,62,
2010,Belgium,Liberia,21,
2010,Belgium,Libya,10,
2010,Belgium,Sri Lanka,212,
2010,Belgium,Lithuania,17,
2010,Belgium,Latvia,5,
2010,Belgium,Morocco,16,
2010,Belgium,Rep. of Moldova,3,
2010,Belgium,Macedonia,22,
2010,Belgium,Mali,5,
2010,Belgium,Myanmar,11,
2010,Belgium,Mauritania,128,
2010,Belgium,Namibia,1,
2010,Belgium,Niger,15,
2010,Belgium,Nigeria,37,
2010,Belgium,Nicaragua,1,
2010,Belgium,Nepal,19,
2010,Belgium,Pakistan,45,
2010,Belgium,Peru,4,
2010,Belgium,Poland,274,
2010,Belgium,North Korea,22,
2010,Belgium,Portugal,1,
2010,Belgium,Palestinian,122,Civil war (2005-now)
2010,Belgium,Romania,40,
2010,Belgium,Russian Federation,2964,Second Tsjetseense war (1999—2010)
2010,Belgium,Rwanda,981,
2010,Belgium,Sudan,63,Conflict of Dafur
2010,Belgium,Senegal,75,
2010,Belgium,Sierra Leone,30,
2010,Belgium,Somalia,117,
2010,Belgium,Serbia and Kosovo,1040,
2010,Belgium,Syrian Arab Rep.,229,
2010,Belgium,Chad,49,
2010,Belgium,Togo,123,
2010,Belgium,Tibetan,16,
2010,Belgium,Tunisia,11,
2010,Belgium,Turkey,510,
2010,Belgium,Tanzania,28,
2010,Belgium,Uganda,13,
2010,Belgium,Ukraine,86,
2010,Belgium,Uruguay,3,
2010,Belgium,Uzbekistan,33,
2010,Belgium,Viet Nam,59,
2010,Belgium,Various/Unknown,4478,
2010,Belgium,Yemen,3,
2010,Belgium,South Africa,2,
2011,Belgium,Afghanistan,785,Afghanistan war (2001-now)
2011,Belgium,Angola,120,
2011,Belgium,Albania,228,
2011,Belgium,United Arab Emirates,2,
2011,Belgium,Argentina,,
2011,Belgium,Armenia,64,
2011,Belgium,Azerbaijan,29,
2011,Belgium,Burundi,274,
2011,Belgium,Belgium,,
2011,Belgium,Benin,10,
2011,Belgium,Burkina Faso,27,
2011,Belgium,Bangladesh,9,
2011,Belgium,Bulgaria,22,
2011,Belgium,Bosnia and Herzegovina,51,
2011,Belgium,Belarus,63,
2011,Belgium,Bolivia,4,
2011,Belgium,Brazil,,
2011,Belgium,Bhutan,2,
2011,Belgium,Central African Rep.,17,
2011,Belgium,Chile,58,
2011,Belgium,China,603,
2011,Belgium,Ivory Coast,186,
2011,Belgium,Cameroon,324,
2011,Belgium,Dem. Rep. of the Congo,711,Civil war (1994-now)
2011,Belgium,Congo,35,Civil war (1994-now)
2011,Belgium,Colombia,39,
2011,Belgium,Cuba,1,
2011,Belgium,Czech Rep.,11,
2011,Belgium,Germany,3,
2011,Belgium,Djibouti,84,
2011,Belgium,Dominican Rep.,1,
2011,Belgium,Algeria,37,
2011,Belgium,Egypt,11,
2011,Belgium,Eritrea,81,
2011,Belgium,Spain,4,
2011,Belgium,Estonia,3,
2011,Belgium,Ethiopia,87,
2011,Belgium,Fiji,,
2011,Belgium,France,2,
2011,Belgium,Gabon,9,
2011,Belgium,Georgia,19,
2011,Belgium,Ghana,10,
2011,Belgium,Guinea,1493,
2011,Belgium,Gambia,,
2011,Belgium,Guinea-Bissau,9,
2011,Belgium,Equatorial Guinea,,
2011,Belgium,Guatemala,5,
2011,Belgium,Croatia,7,
2011,Belgium,Haiti,6,
2011,Belgium,Hungary,86,
2011,Belgium,India,5,
2011,Belgium,Iran,347,
2011,Belgium,Iraq,1329,Iraq war (2002-2011)
2011,Belgium,Israel,1,
2011,Belgium,Jordan,22,
2011,Belgium,Kazakhstan,14,
2011,Belgium,Kenya,22,
2011,Belgium,Kyrgyzstan,8,
2011,Belgium,Cambodia,13,
2011,Belgium,Kuwait,1,
2011,Belgium,Laos,16,
2011,Belgium,Lebanon,89,
2011,Belgium,Liberia,23,
2011,Belgium,Libya,9,
2011,Belgium,Sri Lanka,264,
2011,Belgium,Lithuania,17,
2011,Belgium,Latvia,5,
2011,Belgium,Morocco,17,
2011,Belgium,Rep. of Moldova,3,
2011,Belgium,Madagascar,2,
2011,Belgium,Macedonia,33,
2011,Belgium,Mali,9,
2011,Belgium,Myanmar,18,
2011,Belgium,Montenegro,,
2011,Belgium,Mongolia,,
2011,Belgium,Mauritania,139,
2011,Belgium,Mauritius,1,
2011,Belgium,Malawi,,
2011,Belgium,Namibia,1,
2011,Belgium,Niger,54,
2011,Belgium,Nigeria,17,
2011,Belgium,Nicaragua,,
2011,Belgium,Nepal,17,
2011,Belgium,Pakistan,41,
2011,Belgium,Peru,4,
2011,Belgium,Poland,244,
2011,Belgium,North Korea,31,
2011,Belgium,Portugal,1,
2011,Belgium,Palestinian,76,Civil war (2005-now)
2011,Belgium,Romania,40,
2011,Belgium,Russian Federation,2894,
2011,Belgium,Rwanda,1026,
2011,Belgium,Saudi Arabia,,
2011,Belgium,Sudan,65,Conflict of Dafur
2011,Belgium,Senegal,182,
2011,Belgium,Sierra Leone,40,
2011,Belgium,El Salvador,,
2011,Belgium,Somalia,247,
2011,Belgium,Serbia and Kosovo,1066,
2011,Belgium,Suriname,,
2011,Belgium,Syrian Arab Rep.,312,Civil war (2011-now)
2011,Belgium,Chad,51,
2011,Belgium,Togo,132,
2011,Belgium,Tajikistan,,
2011,Belgium,Turkmenistan,1,
2011,Belgium,Tunisia,11,
2011,Belgium,Turkey,512,
2011,Belgium,Tanzania,45,
2011,Belgium,Uganda,16,
2011,Belgium,Ukraine,84,
2011,Belgium,Uruguay,3,
2011,Belgium,United States of America,,
2011,Belgium,Uzbekistan,32,
2011,Belgium,Viet Nam,52,
2011,Belgium,Stateless,,
2011,Belgium,Various/Unknown,7060,
2011,Belgium,Yemen,3,
2011,Belgium,South Africa,2,
2011,Belgium,Zimbabwe,1,
2012,Belgium,Afghanistan,1267,Afghanistan war (2001-now)
2012,Belgium,Angola,101,
2012,Belgium,Albania,318,
2012,Belgium,United Arab Emirates,2,
2012,Belgium,Argentina,,
2012,Belgium,Armenia,99,
2012,Belgium,Azerbaijan,20,
2012,Belgium,Burundi,290,
2012,Belgium,Belgium,,
2012,Belgium,Benin,9,
2012,Belgium,Burkina Faso,48,
2012,Belgium,Bangladesh,9,
2012,Belgium,Bulgaria,19,
2012,Belgium,Bosnia and Herzegovina,46,
2012,Belgium,Belarus,45,
2012,Belgium,Bolivia,4,
2012,Belgium,Bhutan,2,
2012,Belgium,Central African Rep.,15,
2012,Belgium,Canada,,
2012,Belgium,Chile,56,
2012,Belgium,China,866,
2012,Belgium,Ivory Coast,155,
2012,Belgium,Cameroon,345,
2012,Belgium,Dem. Rep. of the Congo,677,Civil war (1994-now)
2012,Belgium,Congo,31,Civil war (1994-now)
2012,Belgium,Colombia,39,
2012,Belgium,Comoros,,
2012,Belgium,Costa Rica,,
2012,Belgium,Cuba,1,
2012,Belgium,Czech Rep.,9,
2012,Belgium,Germany,3,
2012,Belgium,Djibouti,94,
2012,Belgium,Dominican Rep.,1,
2012,Belgium,Algeria,33,
2012,Belgium,Egypt,18,
2012,Belgium,Eritrea,62,
2012,Belgium,Spain,3,
2012,Belgium,Estonia,3,
2012,Belgium,Ethiopia,85,
2012,Belgium,France,2,
2012,Belgium,Gabon,10,
